spotify_track_id,songid,performer,song,spotify_track_album,spotify_track_explicit,first_chart_appearance,peak_position,weeks_on_chart
0hqXlHVE94CTwXXWRdikbY,"Easy Come, Easy GoGeorge Strait",George Strait,"Easy Come, Easy Go",Easy Come Easy Go,false,1993-10-09,78,10
7FzlbCUcpAfh0ar1yNiKXK,Not Fade AwaySheryl Crow,Sheryl Crow,Not Fade Away,Not Fade Away (for Revlon Colorist. All proceeds to Breast Cancer Research),false,2007-02-24,78,1
3VFR7lXtbxQvcYnTIc6sdB,Go GirlCiara Featuring T-Pain,Ciara Featuring T-Pain,Go Girl,Go Girl (Main Version),false,2008-10-18,78,1
6hqzu0PhIeH0iNg1igvfVL,First Day Back At SchoolPaul and Paula,Paul and Paula,First Day Back At School,Hey Paul - The Very Best Of,false,1963-10-05,79,4
4t6NQkpUmvpvLDCkl3XuwA,Hot Fun In The SummertimeSly & The Family Stone,Sly & The Family Stone,Hot Fun In The Summertime,Greatest Hits,false,1969-08-09,79,16
15q1ikYmVRhDT5o6pailtt,Hang On In There BabyJohnny Bristol,Johnny Bristol,Hang On In There Baby,The MGM Collection (Reissues With Bonus Track),false,1974-06-29,79,17
53Ebyy8VgO7aG4osKvgops,Maybe Love Will Change Your MindStevie Nicks,Stevie Nicks,Maybe Love Will Change Your Mind,Stand Back,false,1994-06-18,79,10
2UIRHeHi72VP5WBMAfkPe5,Hello FridayFlo Rida Featuring Jason Derulo,Flo Rida Featuring Jason Derulo,Hello Friday,Hello Friday (feat. Jason Derulo),false,2016-03-19,79,1
44zDjE3jqBJwmbI2keIlXy,Look In My EyesThe Chantels,The Chantels,Look In My Eyes,The Best Of The Chantels,false,1961-08-26,80,12
37zBZjgFSOiOHqEO0F8bVH,Life Is A CarnivalThe Band,The Band,Life Is A Carnival,The Last Waltz,false,1971-10-16,80,6
6HnqIYsGMS4ijZl8277Gqo,Heart Don't LieLaToya Jackson,LaToya Jackson,Heart Don't Lie,Heart Don't Lie (Bonus Track Version),false,1984-05-05,80,8
6AWht7rs160cnbKeUKzlTS,One Night In BangkokRobey,Robey,One Night In Bangkok,One Night In Bangkok,false,1985-03-02,80,3
5JBa94s53RNVoHnjxwyrSF,I Can't Go For That / You Make My DreamsGlee Cast,Glee Cast,I Can't Go For That / You Make My Dreams,I Can't Go For That / You Make My Dreams (Glee Cast Version),false,2011-05-21,92,1
4wh0E9OwMCxcaIKTg0Mts9,FailureBreaking Benjamin,Breaking Benjamin,Failure,Dark Before Dawn,false,2015-04-11,80,1
4uX7M3U4I1nsZ7SFM4XNCn,Kings Never DieEminem Featuring Gwen Stefani,Eminem Featuring Gwen Stefani,Kings Never Die,Southpaw (Music From And Inspired By The Motion Picture),true,2015-08-01,96,2
1gQsnhxmvNtqnH1hcmRALk,If This World Were MineMarvin Gaye & Tammi Terrell,Marvin Gaye & Tammi Terrell,If This World Were Mine,United,false,1968-03-02,81,6
1ID1QFSNNxi0hiZCNcwjUC,LegendDrake,Drake,Legend,If You're Reading This It's Too Late,true,2015-02-28,86,12
2KgGzC2tP6DYbatyvdap3O,"Honey, HoneyABBA",ABBA,"Honey, Honey",Waterloo,false,1974-09-14,89,10
0V1ttEDFkz1d3w59nLqnUI,Love Is ContagiousTaja Sevelle,Taja Sevelle,Love Is Contagious,Love Is Contagious,false,1987-09-12,82,10
0lT3Q3GFZQCzyiwFEam4TG,Driven OutThe Fixx,The Fixx,Driven Out,Ultimate Collection: The Fixx,false,1989-02-25,81,10
544gpqcu9htj6mnufI5pk7,Get LiftedKeith Murray,Keith Murray,Get Lifted,The Most Beautifullest Thing In This World,true,1995-03-04,83,10
43uQtNJUmlEdJtjbz6GdGL,No ShoppingFrench Montana Featuring Drake,French Montana Featuring Drake,No Shopping,MONTANA,true,2016-08-06,89,11
4qD8RygKB5VpKxwvjOyTDD,Have I NeverA Few Good Men,A Few Good Men,Have I Never,Take A Dip,false,1996-03-23,88,10
4pFSfimXi2W4U7tmQsKkam,I Need Your LoveBoston,Boston,I Need Your Love,Walk On,false,1994-06-11,94,10
4UCNGmp2jX1YhokWQk5Ak4,Live And Die For Hip HopKris Kross,Kris Kross,Live And Die For Hip Hop,Youn,false,1996-04-27,82,10
4yqtwO7MQIIXqoiRBPHAgR,Money For NothingDire Straits,Dire Straits,Money For Nothing,Brothers in Arms,false,1985-07-13,87,22
4kxDa9niTJIyh89afKjpCR,Float OnThe Floaters,The Floaters,Float On,The ABC's Of Sou,false,1977-07-09,81,16
5hyd2fifGiazSiiSxvPYoS,I'm Leaving It (All) Up To YouDonny & Marie Osmond,Donny & Marie Osmond,I'm Leaving It (All) Up To You,Love Songs,false,1974-07-06,90,15
67eX1ovaHyVPUinMHeUtIM,Hurts So GoodJohn Cougar,John Cougar,Hurts So Good,American Fool,false,1982-04-24,82,28
3B7i9OKRRmIsSBHEbJz58Y,Grind With MePretty Ricky,Pretty Ricky,Grind With Me,Bluestars,true,2005-04-16,92,22
6wGMLoEqD2k3RBXFHD0yUp,Lonely BoyAndrew Gold,Andrew Gold,Lonely Boy,What's Wrong with This Picture?,false,1977-03-19,83,21
093adSf9ll30BEpggrfask,Foolish Little GirlThe Shirelles,The Shirelles,Foolish Little Girl,Foolish Little Girl,false,1963-03-23,86,14
2h7iVbQm230WD2OPUbdFFo,Indian Giver1910 Fruitgum Co.,1910 Fruitgum Co.,Indian Giver,The Best of the 1910 Fruitgum Co.,false,1969-01-25,85,13
0tGvjiddWph1hYUbdZ7u6Q,From A Jack To A KingNed Miller,Ned Miller,From A Jack To A King,Classic American Hits,false,1962-12-29,83,13
6Hn9Uc1mMNfqChXU3txNke,MadNe-Yo,Ne-Yo,Mad,Year Of The Gentleman (Bonus Track Edition),false,2008-12-20,97,24
0nf1kn9Nt1WeQyOinNadKz,Let There Be DrumsSandy Nelson,Sandy Nelson,Let There Be Drums,Let There Be Drums,false,1961-10-28,94,17
7ppPgpUdNPbHhuqYwN2SXu,Fool For YouThe Impressions,The Impressions,Fool For You,This Is My Country,false,1968-09-07,99,12
7vu0JkJh0ldukEYbTVcqd0,IssuesJulia Michaels,Julia Michaels,Issues,Nervous System,false,2017-02-11,87,29
2nOmVjYHHAC4hNGnHKSfMF,FreeChicago,Chicago,Free,Chicago II,false,1971-02-20,85,9
20WgikhqE0cdDqApl9eVKB,Here Comes The JudgePigmeat Markham,Pigmeat Markham,Here Comes The Judge,Here Come The Judge,false,1968-06-15,82,8
4lvd9RUYyT5BGG1URmeUJz,I Wanna Love Him So BadThe Jelly Beans,The Jelly Beans,I Wanna Love Him So Bad,The Originals - Classic Hits from the 50's & 60's,false,1964-06-20,88,12
5a8g5hLCM1komEgKFa6Ad9,If My Pillow Could TalkConnie Francis,Connie Francis,If My Pillow Could Talk,Gold,false,1963-05-18,95,9
374BLwBG2RrEVQhTimtzZf,Hand Me Down WorldThe Guess Who,The Guess Who,Hand Me Down World,The Best Of The Guess Who,false,1970-07-18,89,11
6NF8MZ2trxckVBr82pyyPt,"Mercy, Mercy, MercyCannonball Adderley",Cannonball Adderley,"Mercy, Mercy, Mercy",Jazz Profile: Cannonball Adderley,false,1967-01-07,82,11
5eCkuGPZNl4mISFNPgr3Dd,DownMarian Hill,Marian Hill,Down,ACT ONE,false,2017-02-04,99,17
5mlv9Y2cPCjZzppbkWYsKR,Dry Your EyesBrenda & The Tabulations,Brenda & The Tabulations,Dry Your Eyes,Dry Your Eyes,false,1967-02-25,82,11
23ZOiEUix1FsthnLfpWXqj,Midnight RiderGregg Allman,Gregg Allman,Midnight Rider,Laid Back (Deluxe Edition),false,1973-12-22,85,12
3bgqIMHNehAZwhjckR3gc1,HappySurface,Surface,Happy,Surface (Expanded Edition),false,1987-05-23,82,14
5blcqgpsuKhm0WQwMsmywj,Guitar ManElvis Presley,Elvis Presley,Guitar Man,The Best of The '68 Comeback Special,false,1968-01-27,87,20
6ST7lA0LHEzG9OFqoEfdy5,Little Red Rented RowboatJoe Dowell,Joe Dowell,Little Red Rented Rowboat,The Best Of Joe Dowell,false,1962-06-23,90,9
0ZKtHVg8mu6GIngKP9vbhN,Love On Your SideThompson Twins,Thompson Twins,Love On Your Side,Lov,false,1983-04-30,85,9
4s74ZQGzkOKumax5AqZrWC,Learning How To BendGary Allan,Gary Allan,Learning How To Bend,Living Hard,false,2008-07-26,98,4
4fvQp3R9NGjkQiPXbLkAN1,Live For LifeJack Jones,Jack Jones,Live For Life,Super Best,false,1967-12-02,100,2
4hPGkcQSZlQCqg3Q8VS7iP,It's My Cadillac (Got That Bass)MC Nas-D & DJ Fred,MC Nas-D & DJ Fred,It's My Cadillac (Got That Bass),Boom N Bass Volume 2,false,1992-09-19,96,2
7wbPfd2mXbStoZZSnHNd2V,ReunitedPeaches & Herb,Peaches & Herb,Reunited,2 Hot!,false,1979-03-17,76,23
1vXuYPpkLjn1v06E2EsWQY,Crimson And CloverTommy James And The Shondells,Tommy James And The Shondells,Crimson And Clover,The Essentials: Tommy James & The Shondells,false,1968-12-14,85,16
6F5c58TMEs1byxUstkzVeM,RoarKaty Perry,Katy Perry,Roar,PRISM (Deluxe),false,2013-08-24,85,35
